age,gender,raceethnicity,armed,share_white,share_black,share_hispanic,h_income,pov,college
28,Male,Black,Firearm,82.8,4.9,5.3,36649,36.2,0.674125874
34,Female,White,Knife,63.6,7.7,21.4,54871,14.8,0.200720072
28,Male,Black,Firearm,31.8,51,12,40071,20,0.202439778
40,Male,Black,Firearm,3.8,81.2,6.1,42097,19.9,0.380490588
51,Male,Black,No,1.5,83.1,15.6,34545,20.1,0.109860116
44,Male,White,Firearm,87.8,0,10.3,51033,16.5,0.268360599
25,Male,Hispanic/Latino,Firearm,8.5,0.4,89.6,32245,21.5,0.013547237
56,Male,White,Knife,69.3,2.8,17.8,69616,3,0.423807081
37,Male,Hispanic/Latino,Firearm,51.6,11,18.4,38688,18,0.142030276
58,Male,White,Firearm,62.5,15.8,15.9,54905,9.4,0.201200343
39,Male,White,Firearm,55.5,6.4,36,32948,30.5,0.10933759
37,Male,Hispanic/Latino,No,49.2,0.1,49.8,40984,15.7,0.16084788
35,Male,Black,Knife,23.7,54.6,7,62029,10.9,0.392834891
26,Male,Black,Firearm,17.4,75.7,0,21433,51,0.014117647
47,Male,Black,Firearm,43.6,4.9,36,32886,33.4,0.081980519
31,Male,Black,Firearm,41.5,52.6,3.1,16007,46.7,0.091324201
60,Male,White,No,65.4,32.1,1.5,41675,18.4,0.162518302
32,Male,Black,No,40.4,44,10.4,37215,26.9,0.207425343
45,Male,White,Non-lethal firearm,88.9,0.1,6.4,19672,42.4,0.26719057
42,Male,Hispanic/Latino,Firearm,75.3,13.7,10.5,39108,14.3,0.258240183
17,Male,White,Firearm,74,1.3,20.3,30484,25.7,0.261888814
22,Male,Hispanic/Latino,Firearm,20.4,9.8,70.7,31963,26.2,0.132780083
33,Male,Hispanic/Latino,Firearm,5.7,6.1,88.5,23692,50.6,0.026600166
18,Male,White,No,88.2,8.5,1.4,57174,8.5,0.526623377
39,Male,White,Firearm,94.1,3.2,1.5,67636,11.2,0.212507778
59,Male,White,Firearm,92.2,2.9,5.9,65581,7.4,0.267043669
33,Male,White,Firearm,44.7,25,1.9,28836,34.7,0.202991453
58,Male,White,Firearm,94.3,3.9,1.1,37992,8.7,0.141363636
58,Male,White,No,95.7,0,2,49360,12.9,0.147076372
47,Male,White,Firearm,51.3,47.8,0.9,21803,43.1,0.123522459
41,Male,White,Other,76.8,2.1,8.8,64063,8.3,0.382333768
64,Male,White,Firearm,22.5,1.8,64.6,55458,7.3,0.285611251
45,Male,White,Firearm,9.5,0,33.9,56818,24.3,0.165626027
53,Female,White,Firearm,87.1,1.8,3.4,67702,6.3,0.283661878
24,Male,White,Knife,54.9,22,19.1,25690,26.7,0.12675
48,Male,Black,Firearm,10.8,86.4,2.6,42083,38.3,0.14025974
29,Male,Black,No,3.2,94.4,5,29884,26.9,0.182923381
40,Male,Hispanic/Latino,Firearm,0.9,19.5,71.9,26509,36.7,0.102324177
34,Male,White,Vehicle,47.3,6.7,29,66542,10.8,0.385287202
21,Male,Black,Firearm,28.9,22.8,39.6,72218,4.4,0.240339473
26,Male,White,Unknown,52.2,5.1,41.5,43413,17.4,0.056138934
45,Male,Black,Firearm,0.4,84.8,14,23931,40.1,0.029108327
25,Male,Black,Firearm,19,46.1,28.8,25950,39.4,0.108970831
17,Male,White,Non-lethal firearm,96.1,0.1,3.1,67756,8.5,0.168076923
24,Male,Black,Other,23.6,3,49.1,62664,9.1,0.348542762
42,Male,Black,Knife,86.8,0.3,10.5,52038,10,0.505309505
29,Male,Black,Firearm,37.5,5,54.3,45512,20.7,0.048747913
42,Male,Black,Knife,54.9,42.7,0.6,34083,19.3,0.197846568
30,Male,Black,Firearm,55,22.1,14.9,46382,14.8,0.176186645
29,Male,Black,Firearm,76.2,0,19.9,40959,21.8,0.10559723
39,Male,Black,Firearm,9.3,81.6,13.5,20665,44.5,0.138646288
63,Male,White,Non-lethal firearm,83.5,9,1.1,51518,11.3,0.105422829
49,Male,White,Firearm,94.3,4.7,0.1,36319,22.9,0.095789972
41,Male,Black,Firearm,70.6,24.1,1.5,35453,26,0.171848739
27,Male,Black,Other,21.5,53,20.9,36070,28.9,0.142857143
30,Male,White,No,91.1,2.1,3.4,102399,1.8,0.41799308
60,Male,White,Knife,25.2,17.5,53.5,35099,15.4,0.117877423
77,Male,Black,No,22.2,77.8,1.5,23977,37.5,0.088550247
37,Male,Hispanic/Latino,Firearm,15.6,5.8,66,61989,7.6,0.163655685
54,Male,Black,Firearm,11.3,86.4,0,54274,10.1,0.345549738
29,Male,Hispanic/Latino,Firearm,48.3,8.1,38.4,32708,32,0.08590604
30,Male,Black,No,34.7,16.3,14.6,49973,9.2,0.315638907
24,Male,Hispanic/Latino,Knife,43,18.6,23.5,51051,11.1,0.34819491
21,Male,White,Firearm,65,0.9,30.3,36818,21.7,0.139520776
44,Male,Black,Firearm,52.2,23.8,10.1,34432,26.7,0.408774373
40,Male,White,Firearm,68.6,0,23.6,47821,16.3,0.097701149
32,Male,White,Knife,84.1,0.3,3.8,60759,18,0.170479474
22,Male,Hispanic/Latino,Knife,7.9,2.1,83.7,58026,17.8,0.243867655
43,Male,White,Firearm,20.6,5.9,71.2,27066,39.9,0.13821938
52,Male,Hispanic/Latino,Knife,12.6,3.5,77,46944,23.2,0.084254483
27,Male,Hispanic/Latino,No,0.5,0.2,96.3,41611,25.7,0.030701754
34,Male,White,Vehicle,67.9,0,27.1,49308,12.5,0.27692788
20,Male,White,No,84.7,4.4,7.5,39113,16.3,0.103164283
25,Male,Black,Firearm,11.1,75.1,11.3,30844,23.4,0.093983992
24,Male,Black,Knife,63.1,0.5,6.5,63159,11,0.448705012
46,Male,White,Firearm,66.2,30.9,0.1,36694,20.1,0.15942482
42,Male,White,Firearm,70.2,1.3,23.3,49844,23.6,0.141213064
43,Male,White,Firearm,39.3,27.1,22.1,35924,19.9,0.217720392
41,Male,Black,No,21.2,19,57.8,81172,14.6,0.168716372
59,Male,White,No,34.2,57.3,1.1,46007,14.1,0.161811162
25,Male,Black,Firearm,0.1,99.4,0,21083,39.1,0.036792453
42,Male,White,Firearm,56.7,9.1,24,31495,23,0.362808843
64,Male,White,Firearm,66.2,28.5,3.8,28859,36.6,0.358885017
22,Male,White,Unknown,90,9.3,0,67059,7.7,0.527820122
24,Male,White,Knife,86.9,0.7,2.9,104388,1.3,0.596791444
63,Male,White,No,69.1,0.8,2.6,34336,20.4,0.117714286
56,Male,White,No,80.6,0.6,10.5,96094,7.5,0.540820096
60,Male,White,No,96.3,0.3,0.2,42348,20.1,0.131186929
54,Male,White,Firearm,82.8,15,0.4,48173,8.3,0.251100352
37,Male,Black,No,57.8,7.4,20.3,29338,31.3,0.294754572
22,Male,White,Firearm,74.2,10.8,9.1,60186,15.8,0.237702807
39,Male,White,Firearm,61.4,24.2,10.7,65074,8.8,0.307383628
45,Male,White,Knife,84.3,4.6,6,36273,19.2,0.158741259
57,Male,White,No,89,8.6,1.9,44902,6.6,0.085993241
42,Male,White,Firearm,99.6,0.2,0,40541,13.3,0.160032167
19,Male,Hispanic/Latino,No,4,9.5,68.2,30398,42,0.039807524
26,Male,Black,Knife,33.1,3,52.5,25357,37.4,0.068254695
34,Male,White,No,97.3,0.8,0.3,30857,16.1,0.125579342
69,Male,White,No,94.2,3.4,1.1,17917,45.4,0.103820598
64,Female,Asian/Pacific Islander,No,44.1,18.9,32.7,50625,19.4,0.168669131
35,Male,Asian/Pacific Islander,No,4.6,35.9,35.9,41786,28.3,0.22823219
40,Male,Black,No,33.2,62.2,2.8,30588,24.6,0.149602386
19,Male,Black,Firearm,0.2,99.8,0,18828,37.6,0.029233871
27,Male,Hispanic/Latino,No,86.2,9.8,1,24946,31.2,0.092969204
37,Male,Hispanic/Latino,Firearm,16,10.6,72.4,29410,30.7,0.171372292
17,Male,White,Knife,69.6,6.6,19.9,19097,40,0.101298701
39,Male,Black,Firearm,56.7,34.3,7.1,11378,54.2,0.095599393
74,Male,Black,Firearm,33.3,43.7,22.3,28696,33.7,0.045287638
42,Male,White,Firearm,87.2,0.1,5,44638,18.3,0.638549618
47,Male,White,No,42,27.1,29.9,31815,34.8,0.162665563
43,Male,White,Knife,85.5,11,0.7,80891,4,0.495871946
46,Male,White,No,94.4,0,4.2,74510,7.7,0.207537688
44,Male,White,Firearm,96.5,0.7,1.6,57747,9.5,0.16256457
31,Male,White,Other,36.5,57.6,0.3,40721,15.4,0.324362111
47,Male,White,Firearm,96.8,0.2,0.8,49649,16.4,0.138937031
41,Male,Hispanic/Latino,Firearm,73.8,2.5,17.7,90271,8.6,0.482361963
43,Male,White,Vehicle,63.2,21.4,4.7,31169,21.1,0.319685039
32,Male,Black,Firearm,62.2,1.6,28.7,55442,12.4,0.106167401
31,Male,Black,Vehicle,5.4,93.1,1.3,21964,48.4,0.120772947
20,Male,White,Firearm,79.4,0.3,17.1,55432,17.4,0.15408805
20,Female,Black,Firearm,8.4,88,5.8,18457,68.2,0.079066753
33,Male,White,No,70.9,19.6,7.1,45125,14.1,0.200268817
22,Male,Black,Other,9.9,68.6,20.6,20556,57.1,0.087719298
41,Male,White,No,58.6,0,40.4,38893,17.6,0.199338135
41,Male,Black,No,35.3,19.7,29.2,93091,9.3,0.487170943
32,Male,White,Knife,62.5,27.2,8.4,33796,17.2,0.111002445
16,Male,White,Firearm,38,53,3.2,38879,11.3,0.136934307
29,Male,Black,Knife,72.5,1.2,19.3,53097,11.6,0.276122083
42,Male,White,Unknown,62.8,32.1,1.9,42642,13.4,0.243725869
29,Male,Black,Unknown,14,60,26.6,43496,28.1,0.164427727
47,Male,White,Firearm,28.7,17.7,48.7,18942,46.2,0.066834805
53,Male,Black,Other,39.3,59.4,0,40214,25.7,0.061827957
18,Male,Black,No,1,95,0.7,34771,24.9,0.28164794
47,Male,White,Firearm,99.4,0.2,0,27582,33.2,0.142857143
34,Male,White,No,83.3,2.2,8.7,68125,7.7,0.328571429
36,Male,White,Firearm,56.8,34,4.4,54146,8.1,0.225638353
63,Male,White,Firearm,51.1,0.4,6.1,70159,7.3,0.313166605
36,Male,White,No,64.1,8.1,24.7,77275,7.9,0.424920803
27,Male,Black,Firearm,59.9,34,2,32639,24.1,0.109768379
28,Male,Black,Vehicle,56.5,35.1,2.9,38658,32.6,0.38185567
33,Male,Black,No,71,21,3.6,33370,26,0.06088993
32,Male,Black,No,85.7,9.4,2.7,63750,16.6,0.779063361
42,Male,White,Knife,60.3,8.8,25.7,46027,11.3,0.19303675
31,Male,White,Firearm,87.3,1.2,9.2,60940,13.9,0.224592221
17,Female,Hispanic/Latino,Firearm,38.8,43.2,13.7,54261,11.8,0.441001565
24,Male,White,Firearm,50.9,31.2,7.9,33898,26.4,0.166790767
51,Male,Black,No,40.2,12.6,44.2,33320,36.1,0.058467131
28,Male,Hispanic/Latino,Other,30.6,11.5,44.4,35524,39.7,0.244320298
53,Male,White,Firearm,97.1,0.5,0.9,135625,1.1,0.755110384
54,Male,White,No,90,0,6.7,45979,13.6,0.120423467
45,Male,White,Firearm,20.6,74.2,2.2,32899,31.4,0.174675128
33,Male,White,Other,90.5,5.1,2.2,50852,15.2,0.497148004
48,Male,White,Firearm,75.4,1.6,6.5,38365,21.6,0.368347987
34,Male,White,Firearm,63.9,3.7,26.6,54855,7.3,0.507961165
23,Male,Hispanic/Latino,Knife,45,34.2,15.7,36701,24.1,0.206730769
35,Male,White,Firearm,71.2,0,23.6,43460,16,0.148913897
33,Male,Hispanic/Latino,Knife,50.4,11.7,10.2,51445,18.4,0.355088496
32,Male,White,Firearm,59.2,1.4,24.3,83438,7.1,0.427527406
52,Male,White,Firearm,89.3,4.9,0.5,63477,15.3,0.347386588
30,Male,White,No,1.5,16.6,36.3,25894,42,0.234789009
23,Male,White,Firearm,32.9,18.3,39.2,52656,15,0.169544297
35,Male,White,Knife,79.9,4.4,10.4,47051,22.6,0.207895842
42,Male,Black,No,41.5,9.1,37.7,25625,36.4,0.390316206
37,Male,White,No,67.9,30,0.1,38176,16,0.169018933
56,Male,Hispanic/Latino,No,24.3,4.9,67.2,31952,29.3,0.050646175
36,Male,Hispanic/Latino,Disputed,34.1,24.5,26,45833,23.5,0.144635049
27,Male,Hispanic/Latino,Firearm,5.1,2.7,80,48561,20.1,0.084873066
30,Male,White,Firearm,76.9,8.5,4,33835,13.6,0.213095586
31,Male,White,Firearm,79.9,3.8,10.3,46048,11.5,0.131664853
46,Male,White,Firearm,29.6,13.1,56,30069,35.2,0.146364057
51,Male,White,Firearm,76.4,1.7,3.5,32661,21.5,0.145865434
28,Male,White,Knife,31.8,9.3,48.6,50645,11.8,0.064474254
63,Male,White,Firearm,63.1,9.4,18.8,55133,13,0.245041426
28,Male,White,Firearm,27.6,0.7,26.2,80962,6.6,0.350638761
33,Male,Hispanic/Latino,Knife,52.8,1.8,41.3,52661,13.4,0.198295641
24,Male,Hispanic/Latino,Knife,46.9,1,51.7,36912,26,0.117073171
27,Male,White,Firearm,82.7,8.9,3.2,32313,22.4,0.247985121
24,Male,Native American,Firearm,4.3,0.3,2.7,24637,48.9,0.102930128
28,Male,White,Firearm,37.7,22.7,10.9,47525,18.1,0.161686451
28,Male,White,Firearm,79.1,4.6,9.2,90191,4.6,0.458288579
17,Male,Black,Firearm,26.6,40.7,26.2,47723,19.1,0.101003764
46,Female,White,Vehicle,83.3,1.5,10.9,68926,6.6,0.400197954
52,Male,Black,Firearm,45.7,21.4,28.2,58859,9.1,0.172615185
39,Male,Black,Vehicle,37.7,17.2,42.1,48169,20.3,0.263902439
49,Female,White,Non-lethal firearm,38.6,9.1,52.8,34219,17.6,0.100755668
30,Male,Black,No,61.9,20.5,18.4,63646,6,0.368676546
51,Male,White,No,75.3,3.5,14.3,55233,13,0.190435887
16,Male,Black,Firearm,5.2,93.6,0.7,23880,36.4,0.105285592
18,Male,White,Non-lethal firearm,68,17.4,6.4,41901,33.3,0.105675147
22,Male,Hispanic/Latino,No,60.2,4,30.3,53346,8.5,0.269216758
40,Male,Black,Firearm,67.6,26.3,4.3,43517,17,0.17954453
61,Male,White,Knife,97.2,0.3,0.6,40288,17.9,0.144492132
52,Male,White,Firearm,64.4,24.6,5.2,66998,6.4,0.241391224
51,Male,White,Firearm,61.8,29.3,6,43110,15.1,0.090463918
36,Male,Black,Firearm,75.3,1.1,17.3,67109,4.5,0.294627383
36,Male,White,No,79.9,0,10.8,60957,12.4,0.199397288
59,Male,White,No,71,17.6,2.7,82104,14.5,0.470207254
17,Female,White,Firearm,44.8,34.1,19.7,26458,27.4,0.174307036
18,Male,White,No,92.3,1.3,5.7,60795,6,0.236224029
41,Male,White,Other,90.5,0.6,7.6,45500,10.3,0.140482128
33,Male,Native American,Knife,25.5,11.1,13.6,41268,20.2,0.076845638
25,Male,Black,Firearm,5.9,83,9.5,52453,8.2,0.16485773
23,Male,Black,No,28.5,59.4,6.1,33095,38.7,0.10056391
47,Male,Black,Firearm,34.5,59.4,1.4,32625,30.5,0.083578792
58,Male,White,Firearm,91.8,5.1,1.5,36583,14.8,0.153032832
47,Male,White,No,69.3,0,19.8,56020,8.8,0.174886536
34,Male,Black,Firearm,1.6,92.7,5.1,84028,3.5,0.20610687
28,Male,White,Firearm,87.5,0.1,3.3,68949,9.5,0.300439399
37,Male,Black,No,75.4,8.6,4.9,32143,24.4,0.110704111
87,Male,White,Firearm,91,0.6,0.8,52165,6.5,0.160841534
39,Male,Asian/Pacific Islander,Firearm,92.7,0.1,1.6,111464,7.7,0.824971165
27,Male,Hispanic/Latino,Knife,44.7,0,41.7,60833,14.7,0.176865936
35,Male,Hispanic/Latino,Firearm,2.4,2,72,23075,50.6,0.126103405
36,Male,Black,Vehicle,1.4,87.2,4.5,25677,38.2,0.085378869
24,Male,Black,Vehicle,18.9,42.3,5.4,18156,48.9,0.177067083
26,Male,Black,No,56.4,31.8,4.4,38359,18.7,0.190532081
34,Male,Black,Firearm,19.2,75.3,4.8,50664,10.8,0.188659579
51,Male,White,Other,69.4,4.4,3.5,10931,69.4,0.579006772
49,Male,White,Firearm,62,0.4,31.7,31863,33.8,0.112681913
41,Male,White,Firearm,49.7,16.5,26.3,26032,39.1,0.026403743
54,Male,White,No,80.7,0.7,1.4,45615,8.9,0.085796683
36,Male,Black,Firearm,39.8,7,50.1,32162,34.3,0.040115301
26,Male,Black,Firearm,5.8,92.8,2.5,22712,51.4,0.077979132
35,Male,Asian/Pacific Islander,Firearm,32.8,7.8,35.5,41385,29.1,0.101457097
22,Male,Black,Other,47.5,28.2,22.6,33545,30.1,0.202453988
27,Male,White,Other,88.5,9.9,0.7,32522,18.1,0.088607595
42,Male,White,Firearm,62.1,7.1,15.5,48188,31.1,0.475305216
32,Male,White,Other,73.5,0.9,11.8,115750,8.6,0.794069862
32,Male,White,Other,94.7,0.9,3.4,71417,3.3,0.238783649
25,Male,White,Firearm,71.7,2.3,9.8,44097,20.5,0.518049398
26,Female,Black,No,16.1,2.6,70.9,65552,8.9,0.318350079
53,Male,White,No,97.2,1.3,0,36782,18.7,0.153225806
26,Male,White,Knife,74.9,2.3,12,33611,29.6,0.228324505
40,Male,White,Non-lethal firearm,90,1.8,2.3,50265,15.4,0.493210587
55,Male,White,Firearm,9.7,89.1,0,29256,31.5,0.08121547
29,Male,White,No,97.1,1.1,0.3,55279,12,0.11350548
31,Male,White,No,93.4,2,1.3,26613,26.5,0.105626851
19,Male,White,Knife,15,0.4,11.1,72000,5.4,0.182048498
40,Male,White,Knife,77.2,17.8,3.7,42346,11.2,0.1640178
35,Male,White,Firearm,40.1,45.6,3.1,36519,15.5,0.271408351
35,Male,White,Firearm,65.6,11.1,19.8,49318,12.6,0.292464115
39,Male,Hispanic/Latino,Firearm,33.3,0.7,61.8,27500,42.7,0.062254902
37,Male,White,No,78,15.7,2.6,96625,3,0.431638418
36,Male,Hispanic/Latino,Firearm,3.2,0,96.8,26346,33.1,0.106725146
62,Male,White,Knife,58.2,9.8,24.8,41000,19.1,0.143147897
43,Female,Black,Firearm,23.3,0.9,68,45353,11.2,0.105032823
32,Male,White,Knife,79,4.1,9.4,28281,27.4,0.294513956
34,Male,Asian/Pacific Islander,Vehicle,34.7,16.3,14.6,49973,9.2,0.315638907
37,Male,Black,No,26.2,24,41,38293,23.9,0.114899926
37,Female,Black,No,58.6,17.8,7.9,138750,5.6,0.716906946
33,Male,White,Knife,95.9,2,0,43056,18.5,0.122131148
35,Male,White,No,73.5,5.6,4.5,44573,14.1,0.125871172
40,Male,White,No,83.3,2.2,6.6,35507,16.7,0.158213475
21,Male,Black,Firearm,14.5,4.5,7.9,101818,1.5,0.556167665
30,Male,White,Firearm,49.7,13.6,32.2,29375,31.3,0.042051282
23,Male,Black,Knife,37,45.7,10.6,53891,6.9,0.543604651
26,Male,Native American,No,16.3,12,55.4,17699,57.1,0.035050676
39,Female,White,Firearm,94.4,0.9,3.1,76732,8.7,0.212288574
33,Male,Black,Vehicle,46.4,5.3,43.2,71272,5.2,0.355059417
34,Female,Black,Firearm,35.3,19.7,29.2,93091,9.3,0.487170943
37,Male,Black,Firearm,2.1,84.2,5.4,15293,54.6,0.039319872
26,Male,Hispanic/Latino,Firearm,42.6,3.2,52.9,34987,22.1,0.211460151
24,Male,Hispanic/Latino,No,41.8,8.7,8.8,67542,25.5,0.560435572
25,Male,White,Other,5.9,14.5,62.7,44228,29.4,0.049474494
31,Male,Black,Knife,15.7,1.6,69.1,51901,22.4,0.253384913
49,Male,White,Firearm,94.5,0.2,0.2,66036,4.7,0.364356436
59,Male,White,No,28.1,7.1,32.9,97955,6,0.512849414
50,Male,Hispanic/Latino,No,23.5,1.3,72.3,42026,24.5,0.136064165
37,Male,White,Firearm,10.6,23,7.8,91573,5.6,0.350836333
28,Male,White,Other,69.7,16.6,3.3,54784,9.7,0.231973313
26,Male,Hispanic/Latino,Firearm,29.8,25.3,34.5,53244,6.3,0.351817622
23,Male,Black,Firearm,7.2,1.9,83.4,39892,32.2,0.112262522
32,Male,Black,Firearm,5.1,21.3,77.8,40075,34.3,0.075572519
24,Male,White,Knife,86.7,3.3,3.1,82702,6.9,0.622360248
42,Male,White,Firearm,76.8,8.5,7.3,32054,34,0.284542314
34,Male,White,Firearm,1.1,60.3,37.2,24929,45.3,0.036484245
68,Male,White,Other,61.7,9.8,16.3,46519,8.7,0.264764622
31,Male,Black,Firearm,19.6,3.5,74.1,33750,26.7,0.068349515
83,Male,White,No,82.8,1,5.2,56875,8,0.150948367
35,Male,White,Firearm,37.4,10.7,47.7,29707,36.6,0.068331143
29,Male,Hispanic/Latino,Firearm,24.2,5.6,70.2,45208,21.7,0.240572172
