age,gender,raceethnicity,armed,share_white,share_black,share_hispanic,h_income,pov,college
37,Male,Black,No,27.6,5.5,46.4,83258,7.4,0.252503954
22,Male,Hispanic/Latino,Knife,49,2.5,22.5,56458,11.2,0.173560108
18,Male,Hispanic/Latino,Knife,75.2,1.5,21.7,54219,16.4,0.313959028
39,Male,Hispanic/Latino,No,1.7,0,94.3,25792,38.5,0.065922921
49,Male,White,Other,9.9,85.3,4.8,19031,47.1,0.088779956
23,Male,Black,Firearm,52.2,23.8,10.1,34432,26.7,0.408774373
47,Male,Hispanic/Latino,Firearm,30.1,1.4,66.5,49076,18.8,0.13387151
32,Male,Black,Knife,47.3,8.8,43.7,48635,18.4,0.077154583
45,Male,Black,No,9.5,67,21.7,33028,30.2,0.11542814
51,Male,White,Knife,2.3,0.8,97.1,42782,17.4,0.206791467
31,Male,Hispanic/Latino,Vehicle,68.9,10.7,10.7,79821,2.9,0.411525586
54,Male,White,Firearm,16.5,0.9,78.7,28537,35.9,0.057256583
31,Male,White,Firearm,80.9,0.2,11.9,42484,16.2,0.141590679
23,Male,Hispanic/Latino,Knife,13,10.4,61.1,26970,39.3,0.201408451
29,Male,Hispanic/Latino,No,8.5,6.3,84.5,41875,22.9,0.039349224
28,Male,Hispanic/Latino,Firearm,30.6,11.5,44.4,35524,39.7,0.244320298
31,Male,Black,No,57.8,15.5,2.2,47174,10.6,0.164179104
24,Male,Hispanic/Latino,Firearm,4.8,0.4,94.8,32071,30.2,0.06231454
27,Male,White,No,67,1.5,19.7,84743,7.3,0.636127355
57,Male,White,Firearm,8.5,0,27.3,41767,17.1,0.156238291
38,Male,White,Firearm,81.1,8.6,2.7,74347,7.1,0.454371585
34,Male,Hispanic/Latino,Firearm,58.6,2.8,19.2,83325,6.8,0.502911679
39,Male,White,Other,86.3,2.1,0,38078,17,0.068518038
20,Male,Black,Firearm,14.3,38.8,44.9,25093,37.5,0.070552147
35,Male,White,No,54.5,0,42.3,49097,19.5,0.080141129
36,Male,White,Firearm,65.8,11.3,21.1,51355,15.2,0.185093874
38,Male,Asian/Pacific Islander,No,26.1,13.4,2,25323,20.1,0.272237197
33,Male,White,Firearm,49.5,10.9,36.1,71929,19.2,0.227392739
57,Male,Asian/Pacific Islander,Firearm,37.8,28.2,8.9,38958,23,0.206444566
38,Male,Black,Firearm,44.4,22.4,28.9,35780,23.2,0.405676127
72,Male,White,Firearm,66.6,8,21,41571,16.8,0.223813112
37,Female,White,No,45.5,3.1,40.8,27552,31.2,0.39089969
47,Male,White,Knife,58,11.3,15.6,36642,24.5,0.131484335
43,Male,White,No,77.3,16.9,2.9,44247,11,0.140836771
37,Male,White,Firearm,71.5,2.6,18.7,34339,26.6,0.142972319
75,Male,White,Knife,42.2,20.6,24.9,75050,14.3,0.22251773
21,Male,Black,Firearm,36.9,43.4,1.5,17025,51.8,0.106906339
20,Male,Black,Firearm,5.7,92.4,1.3,21468,53.8,0.120189773
29,Male,Black,Firearm,49.4,40,4.7,19732,40.3,0.066876475
37,Male,Black,Knife,77.4,14.6,7.6,53941,4.5,0.151760228
41,Male,Black,Firearm,68.7,5.5,5.6,47350,7.5,0.166792169
22,Male,Black,Knife,1.8,79.2,20.8,26082,42.5,0.092167454
23,Male,Black,Knife,7.5,92.5,0,27409,25.1,0.166768728
64,Male,Black,No,49.8,43.7,3.5,21378,39.8,0.0675
34,Male,Black,Firearm,1,98.6,0.2,20844,50.8,0.05115346
49,Male,White,Firearm,89.4,2.2,7.5,81064,4.4,0.341968068
32,Male,Asian/Pacific Islander,Knife,5.7,0,80.8,57500,13.8,0.072751323
25,Male,Black,Other,19.9,0.6,79,22545,44.1,0.110399211
39,Female,White,Firearm,88,2.6,4,66786,5.5,0.496179039
27,Male,White,Firearm,72.1,0.9,19.5,48198,8.4,0.306578153
36,Male,White,Firearm,48.3,8.1,38.4,32708,32,0.08590604
20,Male,Black,Firearm,41.3,0.6,55.3,25688,26.6,0.170926518
39,Male,White,Firearm,78.5,0.4,20.9,51518,14,0.158820941
19,Male,Black,Firearm,90.7,1.3,5.5,53089,13.3,0.744900197
34,Male,White,Knife,56.9,28.6,8.5,42282,24.3,0.182055101
36,Male,White,Firearm,72.2,25.9,0.3,46740,15.5,0.127942064
34,Male,White,Firearm,72.5,0,1.1,40000,20.7,0.163706564
31,Male,White,No,89.5,0,8.4,57256,9.6,0.19408867
45,Male,Black,Non-lethal firearm,77.5,3.1,15,63444,11,0.296017223
34,Male,White,Unknown,74.8,8.8,4.2,40404,19.9,0.362382445
31,Male,Hispanic/Latino,No,25,31.9,40.1,41265,12.5,0.229678912
28,Male,Hispanic/Latino,Firearm,0.3,37,60.3,26250,33.7,0.122007366
57,Male,White,Firearm,78.5,6.5,4.8,142500,1.9,0.669916938
29,Male,Black,Other,87.4,10,0,51480,6.6,0.225789048
50,Male,Black,Knife,15.8,65.2,18.6,19988,44.1,0.09294998
40,Male,White,Unknown,89.2,0.9,6,102938,11.2,0.71127026
35,Male,Hispanic/Latino,Unknown,94.8,0,2.5,62817,4,0.169803601
53,Male,White,No,84.7,1.4,7.7,81996,3,0.627631579
18,Male,Black,No,40.9,53.8,0,27418,35.2,0.12055336
28,Male,Native American,Firearm,74.5,0.4,20.2,35608,27.3,0.174524982
52,Male,White,Firearm,83.2,10.1,0.3,38200,28.5,0.072764228
38,Female,Black,Firearm,21.7,24.9,37.1,63052,23.9,0.396475771
